Date,Pool,Oil(BBLS),Gas(MCF),Water(BBLS),Days P/I,Well API
1995-02-01,[71629] BASIN FRUITLAND COAL (GAS),0,11026,0,13,30-045-29202
1995-03-01,[71629] BASIN FRUITLAND COAL (GAS),0,38693,0,31,30-045-29202
1995-04-01,[71629] BASIN FRUITLAND COAL (GAS),0,39474,0,30,30-045-29202
1995-05-01,[71629] BASIN FRUITLAND COAL (GAS),0,38840,0,31,30-045-29202
1995-06-01,[71629] BASIN FRUITLAND COAL (GAS),0,33928,0,30,30-045-29202
1995-07-01,[71629] BASIN FRUITLAND COAL (GAS),0,26393,0,31,30-045-29202
1995-08-01,[71629] BASIN FRUITLAND COAL (GAS),0,25637,0,31,30-045-29202
1995-09-01,[71629] BASIN FRUITLAND COAL (GAS),0,31582,0,30,30-045-29202
1995-10-01,[71629] BASIN FRUITLAND COAL (GAS),0,32135,0,31,30-045-29202
1995-11-01,[71629] BASIN FRUITLAND COAL (GAS),0,28244,0,30,30-045-29202
1995-12-01,[71629] BASIN FRUITLAND COAL (GAS),0,32329,0,31,30-045-29202
1996-01-01,[71629] BASIN FRUITLAND COAL (GAS),0,32554,0,31,30-045-29202
1996-02-01,[71629] BASIN FRUITLAND COAL (GAS),0,28999,0,29,30-045-29202
1996-03-01,[71629] BASIN FRUITLAND COAL (GAS),0,29892,0,31,30-045-29202
1996-04-01,[71629] BASIN FRUITLAND COAL (GAS),0,25343,0,30,30-045-29202
1996-05-01,[71629] BASIN FRUITLAND COAL (GAS),0,39474,0,31,30-045-29202
1996-06-01,[71629] BASIN FRUITLAND COAL (GAS),0,26714,0,30,30-045-29202
1996-07-01,[71629] BASIN FRUITLAND COAL (GAS),0,26062,0,31,30-045-29202
1996-08-01,[71629] BASIN FRUITLAND COAL (GAS),0,24234,0,31,30-045-29202
1996-09-01,[71629] BASIN FRUITLAND COAL (GAS),0,18449,0,30,30-045-29202
1996-10-01,[71629] BASIN FRUITLAND COAL (GAS),0,24953,0,31,30-045-29202
